,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
451,apa cuman gw yg kepikiran. pas itu ada wanita mau nyerang polisi tapi keburu di tembak dan di cap teroris. tapi kenapa kkb dari dulu menyerang tni/polri kenapa baru sekrang di cap teroris,apa cuman gw yg kepikiran. pas itu ada wanita mau nyerang polisi tapi keburu di tembak dan di cap teroris. tapi kenapa kkb dari dulu menyerang tni/polri kenapa baru sekrang di cap teroris,apa cuman gw yg kepikiran pas itu ada wanita mau nyerang polisi tapi keburu di tembak dan di cap teroris tapi kenapa kkb dari dulu menyerang tnipolri kenapa baru sekrang di cap teroris,apa cuman gw yg kepikiran pas itu ada wanita mau nyerang polisi tapi keburu di tembak dan cap teroris kenapa kkb dari dulu menyerang tnipolri baru sekrang,"['apa', 'cuman', 'gw', 'yg', 'kepikiran', 'pas', 'itu', 'ada', 'wanita', 'mau', 'nyerang', 'polisi', 'tapi', 'keburu', 'di', 'tembak', 'dan', 'cap', 'teroris', 'kenapa', 'kkb', 'dari', 'dulu', 'menyerang', 'tnipolri', 'baru', 'sekrang']","['cuman', 'gw', 'yg', 'kepikiran', 'pas', 'wanita', 'nyerang', 'polisi', 'keburu', 'tembak', 'cap', 'teroris', 'kkb', 'menyerang', 'tnipolri', 'sekrang']","['cuman', 'gw', 'yg', 'pikir', 'pas', 'wanita', 'nyerang', 'polisi', 'keburu', 'tembak', 'cap', 'teroris', 'kkb', 'serang', 'tnipolri', 'sekrang']"
452,"Dikatakn teroris protes,habis mau dikatakn apa yg jahat begitu,sesama suku nya saja  di Papua dibantai/ dibunuh,makanya jadi manusia itu hrs baik sesama manusia .","dikatakn teroris protes,habis mau dikatakn apa yg jahat begitu,sesama suku nya saja  di papua dibantai/ dibunuh,makanya jadi manusia itu hrs baik sesama manusia .",dikatakn teroris proteshabis mau dikatakn apa yg jahat begitusesama suku nya saja  di papua dibantai dibunuhmakanya jadi manusia itu hrs baik sesama manusia ,dikatakn teroris proteshabis mau apa yg jahat begitusesama suku nya saja di papua dibantai dibunuhmakanya jadi manusia itu hrs baik sesama,"['dikatakn', 'teroris', 'proteshabis', 'mau', 'apa', 'yg', 'jahat', 'begitusesama', 'suku', 'nya', 'saja', 'di', 'papua', 'dibantai', 'dibunuhmakanya', 'jadi', 'manusia', 'itu', 'hrs', 'baik', 'sesama']","['dikatakn', 'teroris', 'proteshabis', 'yg', 'jahat', 'begitusesama', 'suku', 'nya', 'papua', 'dibantai', 'dibunuhmakanya', 'manusia', 'hrs']","['dikatakn', 'teroris', 'proteshabis', 'yg', 'jahat', 'begitusesama', 'suku', 'nya', 'papua', 'bantai', 'dibunuhmakanya', 'manusia', 'hrs']"
453,"pelanggaran dah jelas, penanganan sesui payung hukum, gasss","pelanggaran dah jelas, penanganan sesui payung hukum, gasss",pelanggaran dah jelas penanganan sesui payung hukum gasss,pelanggaran dah jelas penanganan sesui payung hukum gasss,"['pelanggaran', 'dah', 'jelas', 'penanganan', 'sesui', 'payung', 'hukum', 'gasss']","['pelanggaran', 'dah', 'penanganan', 'sesui', 'payung', 'hukum', 'gasss']","['langgar', 'dah', 'tangan', 'sesui', 'payung', 'hukum', 'gasss']"
454,Tepuk Jidad,tepuk jidad,tepuk jidad,tepuk jidad,"['tepuk', 'jidad']","['tepuk', 'jidad']","['tepuk', 'jidad']"
455,damaikan negri ini YA Allah,damaikan negri ini ya allah,damaikan negri ini ya allah,damaikan negri ini ya allah,"['damaikan', 'negri', 'ini', 'ya', 'allah']","['damaikan', 'negri', 'ya', 'allah']","['damai', 'negri', 'ya', 'allah']"
456,Wkwkkww FPI yg jelas jelas selalu membantu bencana malah di cap organisasi terlarang tapi KKB yg jelas jelas gitu melakukan terorisme malah di anggap kriminal doang salam akal sehat,wkwkkww fpi yg jelas jelas selalu membantu bencana malah di cap organisasi terlarang tapi kkb yg jelas jelas gitu melakukan terorisme malah di anggap kriminal doang salam akal sehat,wkwkkww fpi yg jelas jelas selalu membantu bencana malah di cap organisasi terlarang tapi kkb yg jelas jelas gitu melakukan terorisme malah di anggap kriminal doang salam akal sehat,wkwkkww fpi yg jelas selalu membantu bencana malah di cap organisasi terlarang tapi kkb gitu melakukan terorisme anggap kriminal doang salam akal sehat,"['wkwkkww', 'fpi', 'yg', 'jelas', 'selalu', 'membantu', 'bencana', 'malah', 'di', 'cap', 'organisasi', 'terlarang', 'tapi', 'kkb', 'gitu', 'melakukan', 'terorisme', 'anggap', 'kriminal', 'doang', 'salam', 'akal', 'sehat']","['wkwkkww', 'fpi', 'yg', 'membantu', 'bencana', 'cap', 'organisasi', 'terlarang', 'kkb', 'gitu', 'terorisme', 'anggap', 'kriminal', 'doang', 'salam', 'akal', 'sehat']","['wkwkkww', 'fpi', 'yg', 'bantu', 'bencana', 'cap', 'organisasi', 'larang', 'kkb', 'gitu', 'terorisme', 'anggap', 'kriminal', 'doang', 'salam', 'akal', 'sehat']"
457,"92% org papua yg mengaku sbgai bagian NKRI itu yg mana,jangan melakukan pembohongan publik....coba tanya org papua","92% org papua yg mengaku sbgai bagian nkri itu yg mana,jangan melakukan pembohongan publik....coba tanya org papua", org papua yg mengaku sbgai bagian nkri itu yg manajangan melakukan pembohongan publikcoba tanya org papua,org papua yg mengaku sbgai bagian nkri itu manajangan melakukan pembohongan publikcoba tanya,"['org', 'papua', 'yg', 'mengaku', 'sbgai', 'bagian', 'nkri', 'itu', 'manajangan', 'melakukan', 'pembohongan', 'publikcoba', 'tanya']","['org', 'papua', 'yg', 'mengaku', 'sbgai', 'nkri', 'manajangan', 'pembohongan', 'publikcoba']","['org', 'papua', 'yg', 'aku', 'sbgai', 'nkri', 'manajangan', 'bohong', 'publikcoba']"
458,Wkwkkw Hanya orang bodoh yang mencap KKB sebagai Teroris wkwkkw Gimana Pula Separatis GAM (Gerakan Aceh Merdeka)yang ingin Aceh merdeka dulu tahun 2004 bisakah dicap teroris juga ha? ,wkwkkw hanya orang bodoh yang mencap kkb sebagai teroris wkwkkw gimana pula separatis gam (gerakan aceh merdeka)yang ingin aceh merdeka dulu tahun 2004 bisakah dicap teroris juga ha? ,wkwkkw hanya orang bodoh yang mencap kkb sebagai teroris wkwkkw gimana pula separatis gam gerakan aceh merdekayang ingin aceh merdeka dulu tahun  bisakah dicap teroris juga ha ,wkwkkw hanya orang bodoh yang mencap kkb sebagai teroris gimana pula separatis gam gerakan aceh merdekayang ingin merdeka dulu tahun bisakah dicap juga ha,"['wkwkkw', 'hanya', 'orang', 'bodoh', 'yang', 'mencap', 'kkb', 'sebagai', 'teroris', 'gimana', 'pula', 'separatis', 'gam', 'gerakan', 'aceh', 'merdekayang', 'ingin', 'merdeka', 'dulu', 'tahun', 'bisakah', 'dicap', 'juga', 'ha']","['wkwkkw', 'orang', 'bodoh', 'mencap', 'kkb', 'teroris', 'gimana', 'separatis', 'gam', 'gerakan', 'aceh', 'merdekayang', 'merdeka', 'dicap', 'ha']","['wkwkkw', 'orang', 'bodoh', 'cap', 'kkb', 'teroris', 'gimana', 'separatis', 'gam', 'gera', 'aceh', 'merdekayang', 'merdeka', 'cap', 'ha']"
459,Turunkan densus 88 ke papua...,turunkan densus 88 ke papua...,turunkan densus  ke papua,turunkan densus ke papua,"['turunkan', 'densus', 'ke', 'papua']","['turunkan', 'densus', 'papua']","['turun', 'densus', 'papua']"
460,MANTAPPPPP KASIH BINTANG  BUAT BAPAK JOKOWI,mantappppp kasih bintang  buat bapak jokowi,mantappppp kasih bintang  buat bapak jokowi,mantappppp kasih bintang buat bapak jokowi,"['mantappppp', 'kasih', 'bintang', 'buat', 'bapak', 'jokowi']","['mantappppp', 'kasih', 'bintang', 'jokowi']","['mantappppp', 'kasih', 'bintang', 'jokowi']"
461,Apa bedanya kelompok kriminal yg sering membuat teror dg para teroris?,apa bedanya kelompok kriminal yg sering membuat teror dg para teroris?,apa bedanya kelompok kriminal yg sering membuat teror dg para teroris,apa bedanya kelompok kriminal yg sering membuat teror dg para teroris,"['apa', 'bedanya', 'kelompok', 'kriminal', 'yg', 'sering', 'membuat', 'teror', 'dg', 'para', 'teroris']","['bedanya', 'kelompok', 'kriminal', 'yg', 'teror', 'dg', 'teroris']","['beda', 'kelompok', 'kriminal', 'yg', 'teror', 'dg', 'teroris']"
462,emang kalo ke pengadilan bakal ada yang bela?,emang kalo ke pengadilan bakal ada yang bela?,emang kalo ke pengadilan bakal ada yang bela,emang kalo ke pengadilan bakal ada yang bela,"['emang', 'kalo', 'ke', 'pengadilan', 'bakal', 'ada', 'yang', 'bela']","['emang', 'kalo', 'pengadilan', 'bela']","['emang', 'kalo', 'adil', 'bela']"
463,"Udah hajar, habisin aja orang2 brintik  item dekil itu, bisanya dari dulu bikin rusuh aja, mahkamah internasional ngerti apa, mereka gak ngerti gimana Pahlawan2 Indonesia dulu mempertahankan Irian jaya, Indonesia diganggu, kita sebagai Bangsa membela dan mempertahankan kedaulatan kok dibilang pelanggaran ham. Mungkin mereka juga pingin Indonesa hancur kali yaa","udah hajar, habisin aja orang2 brintik  item dekil itu, bisanya dari dulu bikin rusuh aja, mahkamah internasional ngerti apa, mereka gak ngerti gimana pahlawan2 indonesia dulu mempertahankan irian jaya, indonesia diganggu, kita sebagai bangsa membela dan mempertahankan kedaulatan kok dibilang pelanggaran ham. mungkin mereka juga pingin indonesa hancur kali yaa",udah hajar habisin aja orang brintik  item dekil itu bisanya dari dulu bikin rusuh aja mahkamah internasional ngerti apa mereka gak ngerti gimana pahlawan indonesia dulu mempertahankan irian jaya indonesia diganggu kita sebagai bangsa membela dan mempertahankan kedaulatan kok dibilang pelanggaran ham mungkin mereka juga pingin indonesa hancur kali yaa,udah hajar habisin aja orang brintik item dekil itu bisanya dari dulu bikin rusuh mahkamah internasional ngerti apa mereka gak gimana pahlawan indonesia mempertahankan irian jaya diganggu kita sebagai bangsa membela dan kedaulatan kok dibilang pelanggaran ham mungkin juga pingin indonesa hancur kali yaa,"['udah', 'hajar', 'habisin', 'aja', 'orang', 'brintik', 'item', 'dekil', 'itu', 'bisanya', 'dari', 'dulu', 'bikin', 'rusuh', 'mahkamah', 'internasional', 'ngerti', 'apa', 'mereka', 'gak', 'gimana', 'pahlawan', 'indonesia', 'mempertahankan', 'irian', 'jaya', 'diganggu', 'kita', 'sebagai', 'bangsa', 'membela', 'dan', 'kedaulatan', 'kok', 'dibilang', 'pelanggaran', 'ham', 'mungkin', 'juga', 'pingin', 'indonesa', 'hancur', 'kali', 'yaa']","['udah', 'hajar', 'habisin', 'aja', 'orang', 'brintik', 'item', 'dekil', 'bisanya', 'bikin', 'rusuh', 'mahkamah', 'internasional', 'ngerti', 'gak', 'gimana', 'pahlawan', 'indonesia', 'mempertahankan', 'irian', 'jaya', 'diganggu', 'bangsa', 'membela', 'kedaulatan', 'dibilang', 'pelanggaran', 'ham', 'pingin', 'indonesa', 'hancur', 'kali', 'yaa']","['udah', 'hajar', 'habisin', 'aja', 'orang', 'brintik', 'item', 'dekil', 'bisa', 'bikin', 'rusuh', 'mahkamah', 'internasional', 'ngerti', 'gak', 'gimana', 'pahlawan', 'indonesia', 'tahan', 'iri', 'jaya', 'ganggu', 'bangsa', 'bela', 'daulat', 'bilang', 'langgar', 'ham', 'pingin', 'indonesa', 'hancur', 'kali', 'yaa']"
464,"Sudah banyak memakan korban baik penduduk lokal maupun tentara kita..bangunan dibakar,  jangan pedulikan, negara kita punya aturan..  mereka harus tunduk pada aturan negara.. pengen enaknya saja bunuh2 orang tp giliran mw dibunuh malah teriak2 HAM","sudah banyak memakan korban baik penduduk lokal maupun tentara kita..bangunan dibakar,  jangan pedulikan, negara kita punya aturan..  mereka harus tunduk pada aturan negara.. pengen enaknya saja bunuh2 orang tp giliran mw dibunuh malah teriak2 ham",sudah banyak memakan korban baik penduduk lokal maupun tentara kitabangunan dibakar  jangan pedulikan negara kita punya aturan  mereka harus tunduk pada aturan negara pengen enaknya saja bunuh orang tp giliran mw dibunuh malah teriak ham,sudah banyak memakan korban baik penduduk lokal maupun tentara kitabangunan dibakar jangan pedulikan negara kita punya aturan mereka harus tunduk pada pengen enaknya saja bunuh orang tp giliran mw dibunuh malah teriak ham,"['sudah', 'banyak', 'memakan', 'korban', 'baik', 'penduduk', 'lokal', 'maupun', 'tentara', 'kitabangunan', 'dibakar', 'jangan', 'pedulikan', 'negara', 'kita', 'punya', 'aturan', 'mereka', 'harus', 'tunduk', 'pada', 'pengen', 'enaknya', 'saja', 'bunuh', 'orang', 'tp', 'giliran', 'mw', 'dibunuh', 'malah', 'teriak', 'ham']","['memakan', 'korban', 'penduduk', 'lokal', 'tentara', 'kitabangunan', 'dibakar', 'pedulikan', 'negara', 'aturan', 'tunduk', 'pengen', 'enaknya', 'bunuh', 'orang', 'tp', 'giliran', 'mw', 'dibunuh', 'teriak', 'ham']","['makan', 'korban', 'duduk', 'lokal', 'tentara', 'kitabangunan', 'bakar', 'peduli', 'negara', 'atur', 'tunduk', 'ken', 'enak', 'bunuh', 'orang', 'tp', 'gilir', 'mw', 'bunuh', 'teriak', 'ham']"
465,KKB kalau terkana grebek TNI langsung mengaku pro NKRI tapi kalau sedang di luaran suka neror ada jg yg mengaku ngaku cinta indonesia tapi nyatanya hanya jadi mata2,kkb kalau terkana grebek tni langsung mengaku pro nkri tapi kalau sedang di luaran suka neror ada jg yg mengaku ngaku cinta indonesia tapi nyatanya hanya jadi mata2,kkb kalau terkana grebek tni langsung mengaku pro nkri tapi kalau sedang di luaran suka neror ada jg yg mengaku ngaku cinta indonesia tapi nyatanya hanya jadi mata,kkb kalau terkana grebek tni langsung mengaku pro nkri tapi sedang di luaran suka neror ada jg yg ngaku cinta indonesia nyatanya hanya jadi mata,"['kkb', 'kalau', 'terkana', 'grebek', 'tni', 'langsung', 'mengaku', 'pro', 'nkri', 'tapi', 'sedang', 'di', 'luaran', 'suka', 'neror', 'ada', 'jg', 'yg', 'ngaku', 'cinta', 'indonesia', 'nyatanya', 'hanya', 'jadi', 'mata']","['kkb', 'terkana', 'grebek', 'tni', 'langsung', 'mengaku', 'pro', 'nkri', 'luaran', 'suka', 'neror', 'jg', 'yg', 'ngaku', 'cinta', 'indonesia', 'mata']","['kkb', 'kana', 'grebek', 'tni', 'langsung', 'aku', 'pro', 'nkri', 'luar', 'suka', 'neror', 'jg', 'yg', 'ngaku', 'cinta', 'indonesia', 'mata']"
466,Msh aja menyangkal... tp kalo bunuh org gk pake mikir. Knp sich kkb minta d spesialkan tp menolak unt berdamai. Apa dg membunuh org itu wajar bg kalian. Mau d perlakukan spt apa lg kkb.,msh aja menyangkal... tp kalo bunuh org gk pake mikir. knp sich kkb minta d spesialkan tp menolak unt berdamai. apa dg membunuh org itu wajar bg kalian. mau d perlakukan spt apa lg kkb.,msh aja menyangkal tp kalo bunuh org gk pake mikir knp sich kkb minta d spesialkan tp menolak unt berdamai apa dg membunuh org itu wajar bg kalian mau d perlakukan spt apa lg kkb,msh aja menyangkal tp kalo bunuh org gk pake mikir knp sich kkb minta d spesialkan menolak unt berdamai apa dg membunuh itu wajar bg kalian mau perlakukan spt lg,"['msh', 'aja', 'menyangkal', 'tp', 'kalo', 'bunuh', 'org', 'gk', 'pake', 'mikir', 'knp', 'sich', 'kkb', 'minta', 'd', 'spesialkan', 'menolak', 'unt', 'berdamai', 'apa', 'dg', 'membunuh', 'itu', 'wajar', 'bg', 'kalian', 'mau', 'perlakukan', 'spt', 'lg']","['msh', 'aja', 'menyangkal', 'tp', 'kalo', 'bunuh', 'org', 'gk', 'pake', 'mikir', 'knp', 'sich', 'kkb', 'd', 'spesialkan', 'menolak', 'unt', 'berdamai', 'dg', 'membunuh', 'wajar', 'bg', 'perlakukan', 'spt', 'lg']","['msh', 'aja', 'sangkal', 'tp', 'kalo', 'bunuh', 'org', 'gk', 'pake', 'mikir', 'knp', 'sich', 'kkb', 'd', 'spesial', 'tolak', 'unt', 'damai', 'dg', 'bunuh', 'wajar', 'bg', 'laku', 'spt', 'lg']"
467,Basmi kelompok KKB sampai ke akar2nya,basmi kelompok kkb sampai ke akar2nya,basmi kelompok kkb sampai ke akarnya,basmi kelompok kkb sampai ke akarnya,"['basmi', 'kelompok', 'kkb', 'sampai', 'ke', 'akarnya']","['basmi', 'kelompok', 'kkb', 'akarnya']","['basmi', 'kelompok', 'kkb', 'akar']"
468,Kembalilah ke pangkuan bumi pertiwi sodaraku papua.. Jngn mau di jadikan alat utk kepentingan orang2 yg memanfaatkanmu untuk melawan tni,kembalilah ke pangkuan bumi pertiwi sodaraku papua.. jngn mau di jadikan alat utk kepentingan orang2 yg memanfaatkanmu untuk melawan tni,kembalilah ke pangkuan bumi pertiwi sodaraku papua jngn mau di jadikan alat utk kepentingan orang yg memanfaatkanmu untuk melawan tni,kembalilah ke pangkuan bumi pertiwi sodaraku papua jngn mau di jadikan alat utk kepentingan orang yg memanfaatkanmu untuk melawan tni,"['kembalilah', 'ke', 'pangkuan', 'bumi', 'pertiwi', 'sodaraku', 'papua', 'jngn', 'mau', 'di', 'jadikan', 'alat', 'utk', 'kepentingan', 'orang', 'yg', 'memanfaatkanmu', 'untuk', 'melawan', 'tni']","['kembalilah', 'pangkuan', 'bumi', 'pertiwi', 'sodaraku', 'papua', 'jngn', 'jadikan', 'alat', 'utk', 'kepentingan', 'orang', 'yg', 'memanfaatkanmu', 'melawan', 'tni']","['kembali', 'pangku', 'bumi', 'pertiwi', 'sodaraku', 'papua', 'jngn', 'jadi', 'alat', 'utk', 'penting', 'orang', 'yg', 'manfaat', 'lawan', 'tni']"
469,Kasian yang kerja bikin jembatan dibunuh secara keji,kasian yang kerja bikin jembatan dibunuh secara keji,kasian yang kerja bikin jembatan dibunuh secara keji,kasian yang kerja bikin jembatan dibunuh secara keji,"['kasian', 'yang', 'kerja', 'bikin', 'jembatan', 'dibunuh', 'secara', 'keji']","['kasian', 'kerja', 'bikin', 'jembatan', 'dibunuh', 'keji']","['kasi', 'kerja', 'bikin', 'jembatan', 'bunuh', 'keji']"
470,"Brangus smua penghianat di negri ini, hancurkan KKB dan klompok"" sparatis yg mau merongrong kdamaian indonesia","brangus smua penghianat di negri ini, hancurkan kkb dan klompok"" sparatis yg mau merongrong kdamaian indonesia",brangus smua penghianat di negri ini hancurkan kkb dan klompok sparatis yg mau merongrong kdamaian indonesia,brangus smua penghianat di negri ini hancurkan kkb dan klompok sparatis yg mau merongrong kdamaian indonesia,"['brangus', 'smua', 'penghianat', 'di', 'negri', 'ini', 'hancurkan', 'kkb', 'dan', 'klompok', 'sparatis', 'yg', 'mau', 'merongrong', 'kdamaian', 'indonesia']","['brangus', 'smua', 'penghianat', 'negri', 'hancurkan', 'kkb', 'klompok', 'sparatis', 'yg', 'merongrong', 'kdamaian', 'indonesia']","['brangus', 'smua', 'penghianat', 'negri', 'hancur', 'kkb', 'klompok', 'sparatis', 'yg', 'rongrong', 'kdamaian', 'indonesia']"
471,"Memang teroris.. Setiap kelompok yg melawan pemerintah, adalah teroris","memang teroris.. setiap kelompok yg melawan pemerintah, adalah teroris",memang teroris setiap kelompok yg melawan pemerintah adalah teroris,memang teroris setiap kelompok yg melawan pemerintah adalah,"['memang', 'teroris', 'setiap', 'kelompok', 'yg', 'melawan', 'pemerintah', 'adalah']","['teroris', 'kelompok', 'yg', 'melawan', 'pemerintah']","['teroris', 'kelompok', 'yg', 'lawan', 'perintah']"
472,"Teroris polisi yang membantai Rakyat. 
Sampai hari ini  belum ditangkap","teroris polisi yang membantai rakyat. 
sampai hari ini  belum ditangkap","teroris polisi yang membantai rakyat 
sampai hari ini  belum ditangkap",teroris polisi yang membantai rakyat sampai hari ini belum ditangkap,"['teroris', 'polisi', 'yang', 'membantai', 'rakyat', 'sampai', 'hari', 'ini', 'belum', 'ditangkap']","['teroris', 'polisi', 'membantai', 'rakyat', 'ditangkap']","['teroris', 'polisi', 'bantai', 'rakyat', 'tangkap']"
473,"Kkb singkatan dari kumpulan kepala binatang.
Hidup TNI -POLRI
GARUDA DI DADA KU","kkb singkatan dari kumpulan kepala binatang.
hidup tni -polri
garuda di dada ku","kkb singkatan dari kumpulan kepala binatang
hidup tni polri
garuda di dada ku",kkb singkatan dari kumpulan kepala binatang hidup tni polri garuda di dada ku,"['kkb', 'singkatan', 'dari', 'kumpulan', 'kepala', 'binatang', 'hidup', 'tni', 'polri', 'garuda', 'di', 'dada', 'ku']","['kkb', 'singkatan', 'kumpulan', 'kepala', 'binatang', 'hidup', 'tni', 'polri', 'garuda', 'dada', 'ku']","['kkb', 'singkat', 'kumpul', 'kepala', 'binatang', 'hidup', 'tni', 'polri', 'garuda', 'dada', 'ku']"
474,NKRI harga mati,nkri harga mati,nkri harga mati,nkri harga mati,"['nkri', 'harga', 'mati']","['nkri', 'harga', 'mati']","['nkri', 'harga', 'mati']"
475,"SEMANGAT BUAT ABANG ABANG TNI POLRI, YG ADA DI PAPUA, SIKAT HABIS SAJA ITU PARA BINATANG KKB,     MEREKALAH YG SELALU MENYERANG APARAT TNI POLRI..","semangat buat abang abang tni polri, yg ada di papua, sikat habis saja itu para binatang kkb,     merekalah yg selalu menyerang aparat tni polri..",semangat buat abang abang tni polri yg ada di papua sikat habis saja itu para binatang kkb     merekalah yg selalu menyerang aparat tni polri,semangat buat abang tni polri yg ada di papua sikat habis saja itu para binatang kkb merekalah selalu menyerang aparat,"['semangat', 'buat', 'abang', 'tni', 'polri', 'yg', 'ada', 'di', 'papua', 'sikat', 'habis', 'saja', 'itu', 'para', 'binatang', 'kkb', 'merekalah', 'selalu', 'menyerang', 'aparat']","['semangat', 'abang', 'tni', 'polri', 'yg', 'papua', 'sikat', 'habis', 'binatang', 'kkb', 'menyerang', 'aparat']","['semangat', 'abang', 'tni', 'polri', 'yg', 'papua', 'sikat', 'habis', 'binatang', 'kkb', 'serang', 'aparat']"
476,"liat aja negara yg membela mereka, PASTI ABG ADIK SI AA bersaudara..., 
Paling seneng lihat kerusuhan di negara orang, apalagi potensi keuntunganya besar sperti di papua...
Timor Leste adalah cerminan negara yg di kuasai oleh AA cuma dikuras ja SDA.a rakyatnya pada susah gk mereka pedulikan..","liat aja negara yg membela mereka, pasti abg adik si aa bersaudara..., 
paling seneng lihat kerusuhan di negara orang, apalagi potensi keuntunganya besar sperti di papua...
timor leste adalah cerminan negara yg di kuasai oleh aa cuma dikuras ja sda.a rakyatnya pada susah gk mereka pedulikan..","liat aja negara yg membela mereka pasti abg adik si aa bersaudara 
paling seneng lihat kerusuhan di negara orang apalagi potensi keuntunganya besar sperti di papua
timor leste adalah cerminan negara yg di kuasai oleh aa cuma dikuras ja sdaa rakyatnya pada susah gk mereka pedulikan",liat aja negara yg membela mereka pasti abg adik si aa bersaudara paling seneng lihat kerusuhan di orang apalagi potensi keuntunganya besar sperti papua timor leste adalah cerminan kuasai oleh cuma dikuras ja sdaa rakyatnya pada susah gk pedulikan,"['liat', 'aja', 'negara', 'yg', 'membela', 'mereka', 'pasti', 'abg', 'adik', 'si', 'aa', 'bersaudara', 'paling', 'seneng', 'lihat', 'kerusuhan', 'di', 'orang', 'apalagi', 'potensi', 'keuntunganya', 'besar', 'sperti', 'papua', 'timor', 'leste', 'adalah', 'cerminan', 'kuasai', 'oleh', 'cuma', 'dikuras', 'ja', 'sdaa', 'rakyatnya', 'pada', 'susah', 'gk', 'pedulikan']","['liat', 'aja', 'negara', 'yg', 'membela', 'abg', 'adik', 'si', 'aa', 'bersaudara', 'seneng', 'lihat', 'kerusuhan', 'orang', 'potensi', 'keuntunganya', 'sperti', 'papua', 'timor', 'leste', 'cerminan', 'kuasai', 'dikuras', 'ja', 'sdaa', 'rakyatnya', 'susah', 'gk', 'pedulikan']","['liat', 'aja', 'negara', 'yg', 'bela', 'abg', 'adik', 'si', 'aa', 'saudara', 'neng', 'lihat', 'rusuh', 'orang', 'potensi', 'keuntunganya', 'sperti', 'papua', 'timor', 'leste', 'cermin', 'kuasa', 'kuras', 'ja', 'sdaa', 'rakyat', 'susah', 'gk', 'peduli']"
477,"Melucu aja itu teroriss
Pake uji materi segala","melucu aja itu teroriss
pake uji materi segala","melucu aja itu teroriss
pake uji materi segala",melucu aja itu teroriss pake uji materi segala,"['melucu', 'aja', 'itu', 'teroriss', 'pake', 'uji', 'materi', 'segala']","['melucu', 'aja', 'teroriss', 'pake', 'uji', 'materi']","['lucu', 'aja', 'teroriss', 'pake', 'uji', 'materi']"
478,Kamu kira TNI/POLRI hanya cuma diam harusnya sadar yang kalian lakukan sebelumnya melakukan kekerasan terhadap warga kalian itu warga negara atau musuh kok menggangu kedaulatan nkri ya pantas di cap teroris mau siapapun itu yang menggangu nkri pantas dibasmi,kamu kira tni/polri hanya cuma diam harusnya sadar yang kalian lakukan sebelumnya melakukan kekerasan terhadap warga kalian itu warga negara atau musuh kok menggangu kedaulatan nkri ya pantas di cap teroris mau siapapun itu yang menggangu nkri pantas dibasmi,kamu kira tnipolri hanya cuma diam harusnya sadar yang kalian lakukan sebelumnya melakukan kekerasan terhadap warga kalian itu warga negara atau musuh kok menggangu kedaulatan nkri ya pantas di cap teroris mau siapapun itu yang menggangu nkri pantas dibasmi,kamu kira tnipolri hanya cuma diam harusnya sadar yang kalian lakukan sebelumnya melakukan kekerasan terhadap warga itu negara atau musuh kok menggangu kedaulatan nkri ya pantas di cap teroris mau siapapun dibasmi,"['kamu', 'kira', 'tnipolri', 'hanya', 'cuma', 'diam', 'harusnya', 'sadar', 'yang', 'kalian', 'lakukan', 'sebelumnya', 'melakukan', 'kekerasan', 'terhadap', 'warga', 'itu', 'negara', 'atau', 'musuh', 'kok', 'menggangu', 'kedaulatan', 'nkri', 'ya', 'pantas', 'di', 'cap', 'teroris', 'mau', 'siapapun', 'dibasmi']","['tnipolri', 'diam', 'sadar', 'lakukan', 'kekerasan', 'warga', 'negara', 'musuh', 'menggangu', 'kedaulatan', 'nkri', 'ya', 'cap', 'teroris', 'dibasmi']","['tnipolri', 'diam', 'sadar', 'laku', 'keras', 'warga', 'negara', 'musuh', 'menggangu', 'daulat', 'nkri', 'ya', 'cap', 'teroris', 'basmi']"
479,Sejarah Teroris  pernah minta Dialog dgn Pemerintah k???,sejarah teroris  pernah minta dialog dgn pemerintah k???,sejarah teroris  pernah minta dialog dgn pemerintah k,sejarah teroris pernah minta dialog dgn pemerintah k,"['sejarah', 'teroris', 'pernah', 'minta', 'dialog', 'dgn', 'pemerintah', 'k']","['sejarah', 'teroris', 'dialog', 'dgn', 'pemerintah', 'k']","['sejarah', 'teroris', 'dialog', 'dgn', 'perintah', 'k']"
480,"Perjuanganku lebih mudah melawan penjajah, Tetapi perjuangan kalian lebih sulit karna melawan bangsa sendiri
""IR .SOEKARNO""","perjuanganku lebih mudah melawan penjajah, tetapi perjuangan kalian lebih sulit karna melawan bangsa sendiri
""ir .soekarno""","perjuanganku lebih mudah melawan penjajah tetapi perjuangan kalian lebih sulit karna melawan bangsa sendiri
ir soekarno",perjuanganku lebih mudah melawan penjajah tetapi perjuangan kalian sulit karna bangsa sendiri ir soekarno,"['perjuanganku', 'lebih', 'mudah', 'melawan', 'penjajah', 'tetapi', 'perjuangan', 'kalian', 'sulit', 'karna', 'bangsa', 'sendiri', 'ir', 'soekarno']","['perjuanganku', 'mudah', 'melawan', 'penjajah', 'perjuangan', 'sulit', 'karna', 'bangsa', 'ir', 'soekarno']","['juang', 'mudah', 'lawan', 'jajah', 'juang', 'sulit', 'karna', 'bangsa', 'ir', 'soekarno']"
